name,name_detail,small,type,levels,region,phone,location,detail_url
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,5079KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Public Institution,Public,University,Ashanti Region,"233322060334,  23332060137",Kumasi,https://www.ghanaeducationdirectory.com/Search/Details/437
NURSING TRAINING COLLEGE- HO,1NURSING TRAINING COLLEGE- HO,Public Institution,Public,University,Volta Region,233249121213,HO,https://www.ghanaeducationdirectory.com/Search/Details/17696
UNIVERSITY FOR DEVELOPMENT STUDIES (UDS),2749UNIVERSITY FOR DEVELOPMENT STUDIES (UDS),Public Institution,Public,University,Northern Region,"2337126633, 054 544 7445",Tamale,https://www.ghanaeducationdirectory.com/Search/Details/485
UNIVERSITY OF CAPE COAST (UCC),5464UNIVERSITY OF CAPE COAST (UCC),Public Institution,Public,University,Central Region,"03321-32440-9  03321-32480/3248303321, 32440/32444",Cape Coast,https://www.ghanaeducationdirectory.com/Search/Details/459
"UNIVERSITY OF EDUCATION, WINNEBA","6705UNIVERSITY OF EDUCATION, WINNEBA",Public Institution,Public,University,Central Region,0432-222 69 / 223 61,Winneba,https://www.ghanaeducationdirectory.com/Search/Details/483
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,5079KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Public Institution,Public,University,Ashanti Region,"233322060334,  23332060137",Kumasi,https://www.ghanaeducationdirectory.com/Search/Details/437
NURSING TRAINING COLLEGE- HO,1NURSING TRAINING COLLEGE- HO,Public Institution,Public,University,Volta Region,233249121213,HO,https://www.ghanaeducationdirectory.com/Search/Details/17696
UNIVERSITY FOR DEVELOPMENT STUDIES (UDS),2749UNIVERSITY FOR DEVELOPMENT STUDIES (UDS),Public Institution,Public,University,Northern Region,"2337126633, 054 544 7445",Tamale,https://www.ghanaeducationdirectory.com/Search/Details/485
UNIVERSITY OF CAPE COAST (UCC),5464UNIVERSITY OF CAPE COAST (UCC),Public Institution,Public,University,Central Region,"03321-32440-9  03321-32480/3248303321, 32440/32444",Cape Coast,https://www.ghanaeducationdirectory.com/Search/Details/459
"UNIVERSITY OF EDUCATION, WINNEBA","6705UNIVERSITY OF EDUCATION, WINNEBA",Public Institution,Public,University,Central Region,0432-222 69 / 223 61,Winneba,https://www.ghanaeducationdirectory.com/Search/Details/483
